CrankAngle	PCYL1
deg	bar
-20.1	22.909
-20	23.023
-19.9	23.138
-19.8	23.252
-19.7	23.37
-19.6	23.487
-19.5	23.604
-19.4	23.721
-19.3	23.838
-19.2	23.958
-19.1	24.081
-19	24.198
-18.9	24.318
-18.8	24.438
-18.7	24.558
-18.6	24.678
-18.5	24.797
-18.4	24.917
-18.3	25.037
-18.2	25.16
-18.1	25.285
-18	25.405
-17.9	25.527
-17.8	25.653
-17.7	25.778
-17.6	25.903
-17.5	26.031
-17.4	26.156
-17.3	26.281
-17.2	26.409
-17.1	26.537
-17	26.665
-16.9	26.793
-16.8	26.923
-16.7	27.051
-16.6	27.182
-16.5	27.31
-16.4	27.435
-16.3	27.565
-16.2	27.693
-16.1	27.821
-16	27.952
-15.9	28.082
-15.8	28.213
-15.7	28.343
-15.6	28.474
-15.5	28.607
-15.4	28.74
-15.3	28.873
-15.2	29.007
-15.1	29.14
-15	29.27
-14.9	29.404
-14.8	29.539
-14.7	29.675
-14.6	29.809
-14.5	29.944
-14.4	30.078
-14.3	30.211
-14.2	30.347
-14.1	30.483
-14	30.616
-13.9	30.752
-13.8	30.888
-13.7	31.026
-13.6	31.157
-13.5	31.292
-13.4	31.428
-13.3	31.562
-13.2	31.695
-13.1	31.833
-13	31.969
-12.9	32.105
-12.8	32.238
-12.7	32.374
-12.6	32.51
-12.5	32.648
-12.4	32.784
-12.3	32.92
-12.2	33.056
-12.1	33.192
-12	33.325
-11.9	33.461
-11.8	33.597
-11.7	33.735
-11.6	33.871
-11.5	34.01
-11.4	34.143
-11.3	34.276
-11.2	34.409
-11.1	34.543
-11	34.676
-10.9	34.809
-10.8	34.942
-10.7	35.075
-10.6	35.209
-10.5	35.339
-10.4	35.467
-10.3	35.6
-10.2	35.731
-10.1	35.864
-10	35.997
-9.9	36.138
-9.8	36.272
-9.7	36.391
-9.6	36.519
-9.5	36.647
-9.4	36.772
-9.3	36.898
-9.2	37.02
-9.1	37.148
-9	37.273
-8.9	37.398
-8.8	37.524
-8.7	37.646
-8.6	37.766
-8.5	37.886
-8.4	38.009
-8.3	38.131
-8.2	38.248
-8.1	38.368
-8	38.488
-7.9	38.603
-7.8	38.717
-7.7	38.834
-7.6	38.949
-7.5	39.066
-7.4	39.183
-7.3	39.295
-7.2	39.41
-7.1	39.524
-7	39.636
-6.9	39.751
-6.8	39.863
-6.7	39.964
-6.6	40.073
-6.5	40.185
-6.4	40.286
-6.3	40.388
-6.2	40.491
-6.1	40.587
-6	40.673
-5.9	40.771
-5.8	40.883
-5.7	40.99
-5.6	41.064
-5.5	41.147
-5.4	41.237
-5.3	41.317
-5.2	41.405
-5.1	41.472
-5	41.554
-4.9	41.632
-4.8	41.701
-4.7	41.768
-4.6	41.842
-4.5	41.914
-4.4	41.973
-4.3	42.039
-4.2	42.093
-4.1	42.172
-4	42.242
-3.9	42.3
-3.8	42.367
-3.7	42.415
-3.6	42.471
-3.5	42.529
-3.4	42.585
-3.3	42.628
-3.2	42.676
-3.1	42.719
-3	42.756
-2.9	42.799
-2.8	42.825
-2.7	42.87
-2.6	42.905
-2.5	42.929
-2.4	42.956
-2.3	42.985
-2.2	43.017
-2.1	43.046
-2	43.081
-1.9	43.108
-1.8	43.142
-1.7	43.164
-1.6	43.182
-1.5	43.206
-1.4	43.222
-1.3	43.241
-1.2	43.259
-1.1	43.273
-1	43.281
-0.9	43.302
-0.8	43.318
-0.7	43.329
-0.6	43.342
-0.5	43.35
-0.4	43.369
-0.3	43.39
-0.2	43.406
-0.1	43.425
0	43.435
0.1	43.454
0.2	43.473
0.3	43.497
0.4	43.528
0.5	43.539
0.6	43.579
0.7	43.571
0.8	43.616
0.9	43.614
1	43.651
1.1	43.659
1.2	43.659
1.3	43.67
1.4	43.686
1.5	43.694
1.6	43.699
1.7	43.71
1.8	43.715
1.9	43.71
2	43.734
2.1	43.707
2.2	43.771
2.3	43.752
2.4	43.814
2.5	43.808
2.6	43.851
2.7	43.896
2.8	43.976
2.9	44.051
3	44.173
3.1	44.317
3.2	44.474
3.3	44.73
3.4	44.983
3.5	45.321
3.6	45.724
3.7	46.177
3.8	46.691
3.9	47.277
4	47.935
4.1	48.643
4.2	49.456
4.3	50.301
4.4	51.284
4.5	52.339
4.6	53.481
4.7	54.907
4.8	56.46
4.9	58.314
5	60.44
5.1	62.955
5.2	65.76
5.3	68.826
5.4	71.903
5.5	74.365
5.6	76.432
5.7	77.551
5.8	78.193
5.9	78.145
6	77.69
6.1	77.053
6.2	76.677
6.3	76.523
6.4	76.542
6.5	76.701
6.6	77.208
6.7	77.77
6.8	78.502
6.9	79.307
7	80.247
7.1	81.451
7.2	82.882
7.3	84.041
7.4	85.088
7.5	85.77
7.6	85.887
7.7	85.658
7.8	85.104
7.9	84.387
8	83.196
8.1	81.936
8.2	80.745
8.3	79.8
8.4	79.73
8.5	80.223
8.6	80.897
8.7	81.694
8.8	82.528
8.9	83.657
9	84.941
9.1	86.095
9.2	86.622
9.3	86.521
9.4	85.725
9.5	84.611
9.6	83.25
9.7	81.798
9.8	80.487
9.9	79.36
10	78.894
10.1	79.027
10.2	79.547
10.3	80.234
10.4	81.038
10.5	81.816
10.6	82.363
10.7	82.664
10.8	82.781
10.9	82.682
11	82.394
11.1	81.918
11.2	81.348
11.3	80.815
11.4	80.111
11.5	79.291
11.6	78.377
11.7	77.463
11.8	76.907
11.9	76.763
12	76.933
12.1	77.407
12.2	77.969
12.3	78.55
12.4	78.992
12.5	79.187
12.6	79.214
12.7	78.963
12.8	78.497
12.9	77.895
13	77.176
13.1	76.376
13.2	75.551
13.3	74.722
13.4	73.973
13.5	73.417
13.6	73.153
13.7	73.11
13.8	73.339
13.9	73.654
14	74.024
14.1	74.474
14.2	74.77
14.3	74.946
14.4	74.927
14.5	74.645
14.6	74.152
14.7	73.419
14.8	72.577
14.9	71.677
15	70.777
15.1	69.964
15.2	69.426
15.3	69.186
15.4	69.261
15.5	69.551
15.6	69.996
15.7	70.443
15.8	70.654
15.9	70.563
16	70.286
16.1	69.929
16.2	69.519
16.3	69.109
16.4	68.667
16.5	68.235
16.6	67.787
16.7	67.212
16.8	66.623
16.9	66.048
17	65.632
17.1	65.318
17.2	65.137
17.3	65.139
17.4	65.275
17.5	65.456
17.6	65.582
17.7	65.555
17.8	65.371
17.9	65.105
18	64.742
18.1	64.351
18.2	63.967
18.3	63.592
18.4	63.251
18.5	62.867
18.6	62.427
18.7	61.945
18.8	61.516
18.9	61.178
19	60.978
19.1	60.882
19.2	60.818
19.3	60.773
19.4	60.736
19.5	60.706
19.6	60.669
19.7	60.592
19.8	60.523
19.9	60.384
20	60.083
20.1	59.633
20.2	59.111
20.3	58.532
20.4	57.874
20.5	57.366
20.6	56.971
20.7	56.702
20.8	56.577
20.9	56.54
21	56.566
21.1	56.625
21.2	56.649
21.3	56.612
21.4	56.516
21.5	56.329
21.6	56.098
21.7	55.823
21.8	55.541
21.9	55.25
22	54.917
22.1	54.547
22.2	54.126
22.3	53.673
22.4	53.202
22.5	52.834
22.6	52.586
22.7	52.445
22.8	52.402
22.9	52.4
23	52.384
23.1	52.339
23.2	52.256
23.3	52.117
23.4	51.867
23.5	51.595
23.6	51.281
23.7	50.921
23.8	50.516
23.9	50.005
24	49.603
24.1	49.27
24.2	48.995
24.3	48.769
24.4	48.641
24.5	48.521
24.6	48.396
24.7	48.26
24.8	48.137
24.9	48.055
25	47.94
25.1	47.823
25.2	47.698
25.3	47.543
25.4	47.383
25.5	47.162
25.6	46.885
25.7	46.568
25.8	46.235
25.9	45.881
26	45.569
26.1	45.295
26.2	45.068
26.3	44.882
26.4	44.703
26.5	44.589
26.6	44.498
26.7	44.402
26.8	44.306
26.9	44.189
27	44.067
27.1	43.917
27.2	43.747
27.3	43.55
27.4	43.323
27.5	43.062
27.6	42.775
27.7	42.466
27.8	42.159
27.9	41.903
28	41.653
28.1	41.432
28.2	41.243
28.3	41.083
28.4	40.984
28.5	40.891
28.6	40.811
28.7	40.737
28.8	40.675
28.9	40.614
29	40.534
29.1	40.417
29.2	40.254
29.3	40.052
29.4	39.764
29.5	39.479
29.6	39.189
29.7	38.909
29.8	38.664
29.9	38.4
30	38.211
30.1	38.038
30.2	37.891
30.3	37.758
30.4	37.628
30.5	37.529
30.6	37.441
30.7	37.356
30.8	37.265
30.9	37.169
31	37.023
31.1	36.828
31.2	36.615
31.3	36.383
31.4	36.178
31.5	35.923
31.6	35.688
31.7	35.472
31.8	35.273
31.9	35.115
32	34.961
32.1	34.833
32.2	34.732
32.3	34.644
32.4	34.572
32.5	34.511
32.6	34.444
32.7	34.359
32.8	34.25
32.9	34.106
33	33.946
33.1	33.767
33.2	33.594
33.3	33.416
33.4	33.203
33.5	33.005
33.6	32.814
33.7	32.616
33.8	32.433
33.9	32.246
34	32.097
34.1	31.966
34.2	31.868
34.3	31.785
34.4	31.716
34.5	31.641
34.6	31.562
34.7	31.474
34.8	31.367
34.9	31.255
35	31.119
35.1	30.962
35.2	30.794
35.3	30.613
35.4	30.443
35.5	30.261
35.6	30.094
35.7	29.936
35.8	29.795
35.9	29.675
36	29.561
36.1	29.454
36.2	29.358
36.3	29.27
36.4	29.177
36.5	29.095
36.6	29.02
36.7	28.943
36.8	28.855
36.9	28.751
37	28.639
37.1	28.511
37.2	28.365
37.3	28.202
37.4	28.032
37.5	27.869
37.6	27.704
37.7	27.552
37.8	27.416
37.9	27.296
38	27.184
38.1	27.086
38.2	27.009
38.3	26.934
38.4	26.862
38.5	26.79
38.6	26.721
38.7	26.644
38.8	26.561
38.9	26.457
39	26.343
39.1	26.228
39.2	26.108
39.3	25.978
39.4	25.836
39.5	25.698
39.6	25.565
39.7	25.434
39.8	25.304
39.9	25.17
40	25.056
40.1	24.963
40.2	24.88
40.3	24.808
40.4	24.739
40.5	24.678
40.6	24.616
40.7	24.55
40.8	24.47
40.9	24.374
41	24.275
41.1	24.166
41.2	24.044
41.3	23.916
41.4	23.793
41.5	23.668
41.6	23.545
41.7	23.428
41.8	23.314
41.9	23.218
42	23.124
42.1	23.037
42.2	22.959
42.3	22.89
42.4	22.837
42.5	22.778
42.6	22.725
42.7	22.666
42.8	22.605
42.9	22.538
43	22.461
43.1	22.371
43.2	22.272
43.3	22.171
43.4	22.061
43.5	21.952
43.6	21.84
43.7	21.728
43.8	21.627
43.9	21.523
44	21.433
44.1	21.35
44.2	21.278
44.3	21.212
44.4	21.15
44.5	21.092
44.6	21.038
44.7	20.983
44.8	20.924
44.9	20.863
45	20.793
45.1	20.719
45.2	20.642
45.3	20.554
45.4	20.463
45.5	20.367
45.6	20.269
45.7	20.17
45.8	20.071
45.9	19.978
46	19.89
46.1	19.808
46.2	19.733
46.3	19.672
46.4	19.616
46.5	19.56
46.6	19.509
46.7	19.456
46.8	19.405
46.9	19.349
47	19.294
47.1	19.235
47.2	19.174
47.3	19.102
47.4	19.022
47.5	18.937
47.6	18.849
47.7	18.755
47.8	18.665
47.9	18.572
48	18.486
48.1	18.406
48.2	18.332
48.3	18.268
48.4	18.209
48.5	18.156
48.6	18.111
48.7	18.068
48.8	18.023
48.9	17.983
49	17.935
49.1	17.879
49.2	17.82
49.3	17.756
49.4	17.695
49.5	17.628
49.6	17.557
49.7	17.482
49.8	17.407
49.9	17.33
50	17.256
50.1	17.181
50.2	17.109
50.3	17.045
50.4	16.978
50.5	16.922
50.6	16.869
50.7	16.821
50.8	16.779
50.9	16.739
51	16.701
51.1	16.661
51.2	16.616
51.3	16.566
51.4	16.51
51.5	16.448
51.6	16.384
51.7	16.32
51.8	16.251
51.9	16.185
52	16.113
52.1	16.041
52.2	15.977
52.3	15.91
52.4	15.857
52.5	15.801
52.6	15.753
52.7	15.702
52.8	15.657
52.9	15.614
53	15.574
53.1	15.535
53.2	15.497
53.3	15.46
53.4	15.42
53.5	15.377
53.6	15.332
53.7	15.281
53.8	15.228
53.9	15.159
54	15.095
54.1	15.028
54.2	14.962
54.3	14.895
54.4	14.831
54.5	14.773
54.6	14.722
54.7	14.677
54.8	14.634
54.9	14.594
55	14.554
55.1	14.517
55.2	14.48
55.3	14.442
55.4	14.408
55.5	14.37
55.6	14.33
55.7	14.288
55.8	14.245
55.9	14.202
56	14.152
56.1	14.099
56.2	14.045
56.3	13.989
56.4	13.933
56.5	13.875
56.6	13.822
56.7	13.768
56.8	13.718
56.9	13.667
57	13.63
57.1	13.595
57.2	13.566
57.3	13.534
57.4	13.505
57.5	13.478
57.6	13.443
57.7	13.409
57.8	13.371
57.9	13.331
58	13.289
58.1	13.241
58.2	13.19
58.3	13.14
58.4	13.089
58.5	13.038
58.6	12.99
58.7	12.942
58.8	12.897
58.9	12.857
59	12.82
59.1	12.78
59.2	12.743
59.3	12.708
59.4	12.681
59.5	12.652
59.6	12.625
59.7	12.599
59.8	12.572
59.9	12.54
60	12.511
60.1	12.482
60.2	12.447
60.3	12.404
60.4	12.356
60.5	12.308
60.6	12.258
60.7	12.212
60.8	12.164
60.9	12.122
61	12.079
61.1	12.037
61.2	11.999
61.3	11.962
61.4	11.935
61.5	11.903
61.6	11.874
61.7	11.847
61.8	11.823
61.9	11.797
62	11.773
62.1	11.746
62.2	11.72
62.3	11.688
62.4	11.658
62.5	11.626
62.6	11.589
62.7	11.546
62.8	11.506
62.9	11.464
63	11.424
63.1	11.384
63.2	11.347
63.3	11.312
63.4	11.272
63.5	11.237
63.6	11.203
63.7	11.176
63.8	11.152
63.9	11.128
64	11.104
64.1	11.083
64.2	11.056
64.3	11.03
64.4	11.006
64.5	10.974
64.6	10.944
64.7	10.912
64.8	10.878
64.9	10.843
65	10.808
65.1	10.777
65.2	10.737
65.3	10.699
65.4	10.665
65.5	10.63
65.6	10.595
65.7	10.566
65.8	10.539
65.9	10.51
66	10.486
66.1	10.462
66.2	10.444
66.3	10.425
66.4	10.404
66.5	10.382
66.6	10.361
66.7	10.34
66.8	10.31
66.9	10.284
67	10.254
67.1	10.222
67.2	10.19
67.3	10.156
67.4	10.124
67.5	10.087
67.6	10.055
67.7	10.023
67.8	9.993
67.9	9.967
68	9.937
68.1	9.913
68.2	9.889
68.3	9.868
68.4	9.852
68.5	9.831
68.6	9.815
68.7	9.796
68.8	9.777
68.9	9.756
69	9.735
69.1	9.708
69.2	9.682
69.3	9.66
69.4	9.631
69.5	9.599
69.6	9.57
69.7	9.54
69.8	9.508
69.9	9.476
70	9.45
71	9.237
72	9
73	8.778
74	8.595
75	8.36
76	8.211
77	7.995
78	7.838
79	7.662
80	7.497
81	7.356
82	7.18
83	7.065
84	6.9
85	6.778
86	6.65
87	6.514
88	6.413
89	6.274
90	6.184
